Hyperliquid L2 book: BTC
- best bid 74,290 | best ask 74,291 | spread 1
- bids:
  - 74,290 x 17.12303 (n=100)
  - 74,289 x 2.76498 (n=27)
  - 74,288 x 0.0109 (n=3)
  - 74,287 x 5.06251 (n=4)
  - 74,286 x 0.48961 (n=2)
  - 74,285 x 4.57561 (n=4)
  - 74,284 x 4.71556 (n=6)
  - 74,283 x 3.61683 (n=6)
  - 74,282 x 1.43773 (n=4)
  - 74,281 x 5.28713 (n=8)
- asks:
  - 74,291 x 2.63494 (n=8)
  - 74,292 x 0.01672 (n=4)
  - 74,293 x 0.00031 (n=2)
  - 74,294 x 0.00017 (n=1)
  - 74,295 x 0.11966 (n=6)
  - 74,296 x 0.00637 (n=3)
  - 74,297 x 0.36867 (n=5)
  - 74,298 x 0.43373 (n=4)
  - 74,299 x 0.74057 (n=4)
  - 74,300 x 1.19075 (n=5)
